Timestamp,Memory usage (MB),CPU usage (%)
2023-02-05 13:10:40,439.3828125,0.0
2023-02-05 13:10:41,487.3125,11.325
2023-02-05 13:10:42,550.73828125,12.5
2023-02-05 13:10:43,824.9140625,11.1375
2023-02-05 13:10:44,883.59765625,12.3
2023-02-05 13:10:45,946.671875,12.5
2023-02-05 13:10:46,1205.16796875,12.5125
2023-02-05 13:10:47,1051.37890625,12.5
2023-02-05 13:10:48,1051.02734375,12.5
2023-02-05 13:10:49,1054.734375,12.5
2023-02-05 13:10:50,1059.44140625,12.3
2023-02-05 13:10:51,1064.30859375,12.5
2023-02-05 13:10:52,1052.6796875,12.5
2023-02-05 13:10:53,1057.5546875,12.5125
2023-02-05 13:10:54,1062.4140625,12.5
2023-02-05 13:10:55,1051.7578125,12.5
2023-02-05 13:10:57,1056.68359375,12.5
2023-02-05 13:10:58,1051.1875,12.5
2023-02-05 13:10:59,1055.93359375,12.5
2023-02-05 13:11:00,1060.4609375,12.5125
2023-02-05 13:11:01,1065.0234375,12.5
2023-02-05 13:11:02,1053.01171875,12.5
2023-02-05 13:11:03,1057.78125,12.5
2023-02-05 13:11:04,1062.26171875,12.7
2023-02-05 13:11:05,1049.95703125,12.5
2023-02-05 13:11:06,1054.90625,12.5
2023-02-05 13:11:07,1059.796875,12.5
2023-02-05 13:11:08,1054.08984375,12.5
2023-02-05 13:11:09,1058.6328125,12.5125
2023-02-05 13:11:10,1063.35546875,12.5
2023-02-05 13:11:11,1054.58984375,12.5
2023-02-05 13:11:12,1059.32421875,12.5
2023-02-05 13:11:13,1051.39453125,12.5
2023-02-05 13:11:14,1056.453125,12.5
2023-02-05 13:11:15,1061.3984375,12.5125
2023-02-05 13:11:16,1052.9375,12.5
2023-02-05 13:11:17,1057.765625,12.5
2023-02-05 13:11:18,1062.55859375,12.5
2023-02-05 13:11:19,1053.87109375,12.5
2023-02-05 13:11:20,1051.07421875,12.5
2023-02-05 13:11:21,1055.59765625,12.5
2023-02-05 13:11:22,1059.7421875,12.5
2023-02-05 13:11:23,1053.8125,12.5
2023-02-05 13:11:24,1058.15234375,12.5125
2023-02-05 13:11:25,1054.71484375,12.5
2023-02-05 13:11:26,1059.03125,12.5
2023-02-05 13:11:27,1052.953125,12.5125
2023-02-05 13:11:28,1057.01953125,12.5
2023-02-05 13:11:29,1060.78515625,12.5
2023-02-05 13:11:30,1065.34375,12.5
2023-02-05 13:11:31,1053.88671875,12.5
2023-02-05 13:11:32,1058.85546875,12.5
2023-02-05 13:11:33,1053.52734375,12.5
2023-02-05 13:11:34,1058.51953125,12.5
2023-02-05 13:11:35,1063.30078125,12.5125
2023-02-05 13:11:36,1068.26171875,12.5
2023-02-05 13:11:37,1072.96484375,12.5
2023-02-05 13:11:38,1077.73046875,12.3
2023-02-05 13:11:39,1052.6484375,12.5
2023-02-05 13:11:40,1057.2421875,12.5
2023-02-05 13:11:41,1062.0,12.5125
2023-02-05 13:11:42,1066.5546875,12.5
2023-02-05 13:11:43,1050.3203125,12.5
2023-02-05 13:11:44,1055.01953125,12.3
2023-02-05 13:11:45,1059.89453125,12.5125
2023-02-05 13:11:46,1064.59375,12.3
2023-02-05 13:11:47,1069.453125,12.5
2023-02-05 13:11:48,1053.4375,12.3
2023-02-05 13:11:49,1057.83203125,12.5
2023-02-05 13:11:50,1062.70703125,12.5
2023-02-05 13:11:51,1067.3203125,12.5
2023-02-05 13:11:52,1050.92578125,12.5
2023-02-05 13:11:53,1055.9296875,12.5
2023-02-05 13:11:54,1060.94140625,12.5125
2023-02-05 13:11:55,1065.94140625,12.5
2023-02-05 13:11:56,1070.9453125,12.5
2023-02-05 13:11:57,1054.30078125,12.5
2023-02-05 13:11:58,1059.171875,12.5
2023-02-05 13:11:59,1063.953125,12.5
2023-02-05 13:12:00,1068.703125,12.5125
2023-02-05 13:12:01,1073.23046875,12.5
2023-02-05 13:12:02,1077.86328125,12.5
2023-02-05 13:12:03,1056.28125,12.5
2023-02-05 13:12:04,1061.23828125,12.5125
2023-02-05 13:12:05,1065.96875,12.5
2023-02-05 13:12:06,1051.8046875,12.5
2023-02-05 13:12:07,1056.83984375,12.5
2023-02-05 13:12:08,1061.48046875,12.5
2023-02-05 13:12:09,1052.40625,12.5
2023-02-05 13:12:10,1056.93359375,12.5
2023-02-05 13:12:11,1061.35546875,12.5125
2023-02-05 13:12:12,1065.86328125,12.5
2023-02-05 13:12:13,1070.8984375,12.5
2023-02-05 13:12:14,1075.87109375,12.5
2023-02-05 13:12:15,1080.80859375,12.5
2023-02-05 13:12:16,1085.6171875,12.5125
2023-02-05 13:12:17,1053.3203125,12.5
2023-02-05 13:12:18,1058.3828125,12.5
2023-02-05 13:12:19,1063.34765625,12.5
2023-02-05 13:12:20,1054.7265625,12.5125
2023-02-05 13:12:21,1059.3984375,12.5
2023-02-05 13:12:22,1064.31640625,12.5
2023-02-05 13:12:23,1069.30078125,12.5
2023-02-05 13:12:24,1055.74609375,12.5
2023-02-05 13:12:25,1060.5703125,12.5
2023-02-05 13:12:26,1065.26171875,12.5
2023-02-05 13:12:27,1069.60546875,12.5
2023-02-05 13:12:28,1074.5625,12.5125
2023-02-05 13:12:29,1079.58203125,12.5
2023-02-05 13:12:30,1084.5,12.3
2023-02-05 13:12:31,1052.375,12.5
2023-02-05 13:12:32,1057.37109375,12.5
2023-02-05 13:12:33,1062.390625,12.5
2023-02-05 13:12:34,1067.37890625,12.5
2023-02-05 13:12:35,1072.3515625,12.5125
2023-02-05 13:12:36,1053.4140625,12.5
2023-02-05 13:12:37,1058.44140625,12.5
2023-02-05 13:12:38,1063.48046875,12.5
2023-02-05 13:12:39,1066.4921875,12.5125
2023-02-05 13:12:40,1066.5078125,12.5
2023-02-05 13:12:41,1066.5078125,12.5
2023-02-05 13:12:42,1050.8671875,12.5
2023-02-05 13:12:43,1056.1796875,12.5
2023-02-05 13:12:44,1061.12890625,12.5
2023-02-05 13:12:45,1065.921875,12.5125
2023-02-05 13:12:46,1070.73046875,12.5
2023-02-05 13:12:47,1054.20703125,12.5
2023-02-05 13:12:48,1059.2109375,12.5
2023-02-05 13:12:49,1064.15234375,12.5
2023-02-05 13:12:50,1067.67578125,12.5
2023-02-05 13:12:51,1067.7265625,12.5
2023-02-05 13:12:52,1067.81640625,12.5125
2023-02-05 13:12:53,1067.8984375,12.5
2023-02-05 13:12:54,1072.2734375,12.5
2023-02-05 13:12:55,1077.28515625,12.5
2023-02-05 13:12:56,1082.30078125,12.5125
2023-02-05 13:12:57,1087.19921875,12.5
2023-02-05 13:12:58,1053.34765625,12.5
2023-02-05 13:12:59,1058.28515625,12.5
2023-02-05 13:13:00,1063.24609375,12.5
2023-02-05 13:13:01,1068.1953125,12.5
2023-02-05 13:13:02,1071.9140625,12.5125
2023-02-05 13:13:03,1071.9296875,12.3
2023-02-05 13:13:04,1071.9296875,12.5
2023-02-05 13:13:05,1071.9296875,12.5
2023-02-05 13:13:06,1071.9375,12.5
2023-02-05 13:13:07,1071.9375,12.5
2023-02-05 13:13:08,1071.9375,12.5125
2023-02-05 13:13:09,1071.9375,12.5
2023-02-05 13:13:10,1076.43359375,12.5
2023-02-05 13:13:11,1051.24609375,12.5
2023-02-05 13:13:12,1056.08984375,12.5
2023-02-05 13:13:13,1061.09375,12.5125
2023-02-05 13:13:15,1066.0625,12.5
2023-02-05 13:13:16,1070.9140625,12.5
2023-02-05 13:13:17,1071.87890625,12.3
2023-02-05 13:13:18,1071.88671875,12.5
2023-02-05 13:13:19,1071.91015625,12.5
2023-02-05 13:13:20,1071.921875,12.5125
2023-02-05 13:13:21,1071.94140625,12.5
2023-02-05 13:13:22,1071.94140625,12.5
2023-02-05 13:13:23,1071.953125,12.5
2023-02-05 13:13:24,1071.953125,12.5
